structure_type,infill_pattern,design_param_numeric,design_param_relative,compressive_strength,compressive_strength_mean,compressive_strength_std,n_readings
gyroid,gyroid,29,0.0,2.449736022949223,0.9006262007233629,0.5224328428225458,1144
gyroid,gyroid,29,0.0,3.2705697195870536,1.0283536400554625,0.7863406427395241,3641
gyroid,gyroid,29,0.0,3.384047807965964,1.259002272763713,1.0315056121143116,1364
gyroid,gyroid,29,0.0,3.011021641322545,0.8690238076122776,0.798977094631924,1004
gyroid,gyroid,42,0.3939,10.208651646205356,4.809863997570674,3.4003436008102863,1336
gyroid,gyroid,42,0.3939,9.398270786830356,3.471580183891122,3.3139984223595373,1407
gyroid,gyroid,42,0.3939,8.762186802455357,3.739574228080963,2.972149917037872,1246
gyroid,gyroid,42,0.3939,9.22109375,4.398090258922336,3.3359133764051614,1286
gyroid,gyroid,62,1.0,17.799724330357144,12.285038280005931,5.750815969009572,2873
gyroid,gyroid,62,1.0,25.5768640625,11.786859409465206,7.167007034363434,1630
gyroid,gyroid,62,1.0,25.351221875,12.948881261718103,8.835557308204708,1704
gyroid,gyroid,62,1.0,26.6068375,8.817971415506207,8.745944037425046,1412
honeycomb,honeycomb,36,0.0,1.5098279389880953,0.9779663351735172,0.4695352515761271,2601
honeycomb,honeycomb,36,0.0,1.7784320359002952,0.9997638011905414,0.6517498133865518,2276
honeycomb,honeycomb,36,0.0,1.449078659784229,0.855754042484657,0.5335830885862071,2103
honeycomb,honeycomb,36,0.0,1.720132533482143,0.9373990871677668,0.5972302371381002,2420
honeycomb,honeycomb,36,0.0,1.5508321707589334,0.9061164743551352,0.2992674296493556,22423
honeycomb,honeycomb,44,0.2581,3.3147193884000865,1.9838292174665044,0.7222908193482781,14716
honeycomb,honeycomb,44,0.2581,3.1515407459378424,1.908232190639722,0.7435557114340925,14879
honeycomb,honeycomb,44,0.2581,2.962308585322276,1.886216684130404,0.6064259657257155,14995
honeycomb,honeycomb,44,0.2581,3.140589445540054,1.876603430403252,0.6689511608901345,15009
honeycomb,honeycomb,67,1.0,8.715754479617145,6.684463122743335,2.67000819747442,3878
honeycomb,honeycomb,67,1.0,9.058388806706114,6.9259694557907165,2.5715034197893987,5543
honeycomb,honeycomb,67,1.0,9.02967748397436,5.914057843781485,3.152771897986901,3753
honeycomb,honeycomb,67,1.0,8.85231678377712,5.805257804913762,3.160389956487814,3766
triply_periodic,triply_periodic,24,0.0,2.779920006486917,1.2469694825859627,0.4542796526625242,7836
triply_periodic,triply_periodic,24,0.0,2.5304162201037905,1.3552773030630212,0.368616852869144,22324
triply_periodic,triply_periodic,37,0.619,7.719692925347222,4.028722645573456,2.833909312176078,1265
triply_periodic,triply_periodic,37,0.619,7.494493272569445,3.96571625893126,2.700971100600087,1867
triply_periodic,triply_periodic,37,0.619,7.120431857638889,2.8814409533952072,2.693659576208802,1547
triply_periodic,triply_periodic,37,0.619,7.5634423828125,3.868051679578102,2.8309515309491475,1256
triply_periodic,triply_periodic,45,1.0,6.608414713541666,2.800001506589381,2.5158787905657936,1324
triply_periodic,triply_periodic,45,1.0,7.678466254340278,3.423580914419489,2.9822830364164674,1427
triply_periodic,triply_periodic,45,,7.602020941840278,3.9469373898047286,2.864997721639273,1195
triply_periodic,triply_periodic,45,,7.089890407986111,3.3167915446703984,2.574439789854303,1201
